version,log_file,run_date,total_repos,failed_repos,total_loc,total_time_s,avg_rate_loc_s,slow_files_gt10s,typosquat_hits,typosquat_repos
v2.4.6,batch_scan_master_20260803_150601.log,2026-08-03,599,0,232915268,9328.45,24968,23,1932,153
v2.4.7,batch_scan_master_20260806_232904.log,2026-08-06,610,0,233511820,7963.66,29322,24,1958,159
